IP,Port,transport
91.135.106.253,10001,tcp
91.135.105.103,10001,tcp
85.159.161.2,10001,tcp
82.81.65.5,10001,tcp
82.81.65.4,10001,tcp
82.81.65.2,10001,tcp
82.81.199.249,10001,tcp
82.102.148.130,10001,tcp
81.218.188.202,10001,tcp
81.218.168.14,10001,tcp
81.218.167.113,10001,tcp
81.218.167.110,10001,tcp
80.179.204.71,10001,tcp
212.25.87.253,10001,tcp
212.179.228.210,10001,tcp
212.179.225.52,10001,tcp
212.179.225.16,10001,tcp
212.179.221.34,10001,tcp
212.179.221.193,10001,tcp
2.55.116.31,10001,tcp
2.55.106.50,80,tcp
2.55.106.48,80,tcp
2.55.106.42,10001,tcp
2.55.105.9,10001,tcp
2.55.105.12,10001,tcp
195.192.227.140,10001,tcp
192.117.33.27,9090,tcp
188.120.138.94,80,tcp
188.120.136.199,10001,tcp
141.226.164.238,10001,tcp
141.226.164.203,10001,tcp
