ip,port,transport
80.250.150.242,161,udp
109.253.5.79,161,udp
109.253.1.219,161,udp
109.253.4.193,161,udp
2.55.81.185,161,udp
37.142.78.121,161,udp
2.55.119.1,161,udp
46.210.121.254,161,udp
46.210.108.111,161,udp
46.210.119.3,161,udp
185.196.127.4,161,udp
46.210.118.236,161,udp
46.210.119.68,161,udp
109.253.5.162,161,udp
46.210.116.129,161,udp
37.142.78.122,161,udp
46.210.117.67,161,udp
95.35.55.216,161,udp
2.55.66.230,161,udp
141.226.94.44,161,udp
91.135.107.144,161,udp
80.250.154.118,161,udp
2.55.123.133,161,udp
80.250.150.17,161,udp
109.253.5.144,161,udp
109.253.5.172,161,udp
46.210.105.254,161,udp
46.210.110.93,161,udp
34.165.222.122,161,udp
109.253.1.219,161,udp
109.253.4.193,161,udp
2.55.81.185,161,udp
37.142.78.121,161,udp
80.250.150.242,161,udp
2.55.119.1,161,udp
46.210.121.254,161,udp
34.165.35.120,161,udp
46.210.108.111,161,udp
46.210.119.3,161,udp
109.253.5.79,161,udp
64.176.164.20,161,udp
185.196.127.4,161,udp
46.210.118.236,161,udp
46.210.119.68,161,udp
109.253.5.162,161,udp
46.210.116.129,161,udp
34.165.187.32,161,udp
34.165.21.138,161,udp
37.142.78.122,161,udp
46.210.117.67,161,udp
34.165.167.186,161,udp
95.35.55.216,161,udp
2.55.66.230,161,udp
141.226.94.44,161,udp
91.135.107.144,161,udp
80.250.154.118,161,udp
2.55.123.133,161,udp
80.250.150.17,161,udp
109.253.5.144,161,udp
109.253.5.172,161,udp
46.210.105.254,161,udp
46.210.110.93,161,udp
34.165.21.92,161,udp
109.253.1.219,161,udp
109.253.4.193,161,udp
2.55.81.185,161,udp
37.142.78.121,161,udp
2.55.119.1,161,udp
46.210.121.254,161,udp
46.210.108.111,161,udp
46.210.119.3,161,udp
185.196.127.4,161,udp
46.210.118.236,161,udp
46.210.119.68,161,udp
109.253.5.162,161,udp
46.210.116.129,161,udp
37.142.78.122,161,udp
46.210.117.67,161,udp
95.35.55.216,161,udp
2.55.66.230,161,udp
91.135.107.144,161,udp
80.250.154.118,161,udp
2.55.123.133,161,udp
80.250.150.17,161,udp
109.253.5.144,161,udp
109.253.5.172,161,udp
46.210.105.254,161,udp
46.210.110.93,161,udp
